name	id	n_works	mbz_id
"Fig, Aaron Wolff"	2463	1	
"Rissmann, Paul"	2465	1	
"Duery, Louis"	2468	1	
"Sandidge, Daniel"	2470	1	
"Rechtman, Elan"	2475	1	
"Taylor, Brooks & Stanley"	2483	1	
"Kerr, Joseph Frizell"	2491	1	
"Igudesman & Joo, Aleksey & Huyng-ki"	2493	1	
"Perren, Fekaris, and Gaynor, Freddie, Dino, and Gloria"	2496	1	
"Arancio, Julia"	2498	1	
"Celestin, Austin"	2499	1	
"Green, DeAnte"	2501	1	
"Utagawa, Karin"	2505	1	
"Iwamoto, Yuki"	2506	1	
"Iwamoto, Hiroaki"	2507	1	
"Bai, Chengren"	2508	1	
"Luo, Xiuying"	2509	1	
"Xu, Peidong"	2510	1	
"Senk, Olga"	2526	1	
"Acosta, Daniel"	2531	1	
"Darris, Samantha"	2532	1	
"Choi, Elli"	2533	1	
Bridge to Nowhere	2534	1	
"Jones, Jesse"	2545	1	
"Wang, Lu"	2546	1	
"McManus, Andrew"	2547	1	
"Kapica, Chris"	2553	1	
"Eotvos, Melody"	2558	1	
"Rotolo, Kyle"	2561	1	
"Stafylakis, Haralabos"	2562	1	
"Green, Joe"	2565	1	
"Ray, Don"	2566	1	
"Brock, Timothy"	2574	1	
"Le Roy, Henri Leon"	2583	1	
"Liao, Shuwen"	2584	1	
"Pato and Tong, Christina and Wu"	2587	1	
"Yan, Hai-Deng"	2592	1	
"Kravath, Lilly"	2596	1	
"Lubetsky, Maya"	2597	1	
"Siguencia, Marvin"	2598	1	
"Tom, Emma"	2599	1	
"Zivkovic, Djuro"	2601	1	
"Liu, Tianhua"	2613	1	
"Dessner and Parry, Bryce and Richard Reed"	2615	1	
"Mallonee, Caroline"	2618	1	
"Heidelberger, Nathan"	2621	1	
"Handel/ Mason, George/Lowell"	2630	1	
"Coletti, Christopher"	2631	1	
"Hudson, Caleb"	2632	1	
"Harris, Gavin"	2637	1	
"Villegas, Mondriana"	2638	1	
"Egan, Elizabeth"	2639	1	
"Rodine, Saevar"	2640	1	
"Paunio, Pyry"	2641	1	
"Rankin, Rimari"	2642	1	
"Juarez, Demicis"	2643	1	
"Gang and He, Chen and Zhanhao"	2645	1	
"Ewald, Victor"	2649	1	
"Cohen, Lenoard"	2651	1	
"Page, Plant, and Bonham, Jimmy, Robert, and John"	2653	1	
"Mitchell, Willie"	2655	1	
"Krawczyk, Franck"	2656	1	
"Aucoin, Matthew"	2660	1	
"Purrington, Hilary"	2666	1	
"Johnson, John Rosamund"	2667	1	
"Sivan, Noam"	2674	1	
"Jacobson, Colin"	2680	1	
"Hartonen, Aino"	2681	1	
"Won, Taehyun"	2682	1	
"Ng, Aidan"	2683	1	
"Andrade, Angie"	2685	1	
"Vakeva, Kari"	2688	1	
"Evans, Eric"	2695	1	
"Hirsch/Lanz, Shelley/Joke"	2698	1	
"Dempster, Thomas"	2699	1	
"Laub, Fernando"	2702	1	
"Babcock, Andrew"	2703	1	
"Hembree, Paul"	2705	1	
"Patrono, Clelia"	2706	1	
"Einbond, Aaron"	2708	1	
"Schedel, Margaret"	2710	1	
"Cline, Nicholas"	2714	1	
"Howe, Hurbert"	2718	1	
"von Reusner, Clemens"	2720	1	
"Luhmann, Grant"	2721	1	
"Hass, Jeffrey"	2722	1	
"Nichols, John"	2723	1	
"Cunningham, Stuart"	2725	1	
"Dashow, James"	2726	1	
"Wang, Tuo"	2728	1	
"Gatti, Paolo"	2729	1	
"Cerar/Borissov, Maja/Liubo"	2730	1	
"Li, Wuan-chin"	2732	1	
"Mailman, Joshua"	2733	1	
"Gogins, Michael"	2734	1	
"Kramer, Reiner"	2735	1	
"Thomas, Paul David"	2737	1	
"Clausen, Joshua"	2738	1	
"Kotcheff, Thomas"	2739	1	
"Alexander, Lucas"	2746	1	
"Qian, Yibing"	2747	1	
"Lenon/McCartney, John/Paul"	2749	1	
"Pascuzzi, Gregory"	2752	1	
"Gates, Dorothy"	2753	1	
Anonymous	2754	1	
"Araujo, Benjamin"	2756	1	
"Estrella, Marisol"	2757	1	
"Hata, Yusei"	2758	1	
"Rabiu, Isai"	2759	1	
"Weerakkody, Suvani"	2760	1	
"Gontarcyk, Nikita"	2761	1	
"Malin and Cordero, Leslie and Percaiz"	2762	1	
"Tzu, Huang"	2764	1	
"Li, Qingzhu"	2765	1	
"Wubbels, Eric"	2771	1	
"Feng, Shuya"	2776	1	
"Klein, Gideon"	2779	1	
